5.000 1:0.8921588013762078 2:1.0 3:0.842192326035954 4:0.8611111044883728 5:0.8687159393921662 6:1.0 7:0.7024466551333441 8:0.7839533853791574 9:1.0 10:0.46469932429375976 11:1.0 12:0.8319831583507317 13:0.7777777777777778 14:0.8888888955116272 15:1.07692307692 16:3.0
5.000 1:0.8681554292345763 2:1.0 3:0.9333038959947111 4:0.8148148059844971 5:0.7794980984399326 6:1.0 7:0.49991680166510677 8:0.7540027690979069 9:1.0 10:0.26226729032313456 11:0.0 12:0.7599942287755946 13:0.6666666666666666 14:0.6666666269302368 15:1.11111111111 16:5.0
4.750 1:0.8085493678350889 2:0.796875 3:0.9621310961806726 4:0.8125 5:0.9111044063057515 6:1.0 7:0.6892857354055868 8:0.9378251858878278 9:1.0 10:0.4291849725971732 11:0.0 12:0.8912790289304766 13:0.75 14:0.875 15:0.757575757576 16:6.0
5.000 1:0.8451060406995211 2:1.0 3:0.8755069535200571 4:0.8500000238418579 5:0.966823181750077 6:1.0 7:0.8024643912787117 8:1.0 9:1.0 10:0.9999631024565799 11:0.9999999999999998 12:1.0 13:0.717948717948718 14:0.800000011920929 15:0.833333333333 16:4.0
3.800 1:0.7814669374670751 2:0.8452380895614624 3:0.9617393508231902 4:0.8064516186714172 5:0.9260608237310818 6:1.0 7:0.7011844095597244 8:0.9786691331716509 9:1.0 10:0.8253728597179079 11:0.7463545008415281 12:0.9654380725074474 13:0.75 14:0.875 15:0.757575757576 16:6.0
3.800 1:0.6107260326271002 2:1.0 3:0.9470912791757271 4:0.8035714626312256 5:0.509441303357482 6:1.0 7:0.5202360304047549 8:0.8564126080165151 9:1.0 10:0.42954368518382735 11:0.6533697578769466 12:0.9747185661714417 13:0.6222222222222222 14:0.699999988079071 15:0.914285714286 16:11.0
2.600 1:0.7863522901688836 2:1.0 3:0.9112732758441258 4:0.8571428656578064 5:0.8071088634143824 6:0.0 7:0.7003188213667009 8:0.9620402908133403 9:1.0 10:0.6520587465702724 11:0.7349240990272629 12:0.9685104278909238 13:0.6666666666666666 14:0.8333333134651184 15:0.8 16:2.0
2.400 1:0.6641540173122652 2:0.8935185074806213 3:0.9163682522869132 4:0.800000011920929 5:0.7619619815669454 6:1.0 7:0.5491453888361222 8:0.9431758813625131 9:0.0 10:0.30842790588254027 11:0.3147663231430072 12:0.9763263354197079 13:0.47619047619047616 14:0.7142857313156128 15:0.6 16:6.0
2.750 1:0.6773536160427448 2:0.8935185074806213 3:0.8470105911286644 4:0.8275861740112305 5:0.8060838089189019 6:1.0 7:0.5707220328393265 8:0.9541625661985008 9:0.0 10:0.7522476181548966 11:0.6690511638140582 12:0.9903529673327154 13:0.47619047619047616 14:0.7142857313156128 15:0.6 16:4.0
4.250 1:0.9800589317239466 2:1.0 3:0.9302402591083103 4:0.7941176295280457 5:0.830385201786779 6:1.0 7:0.6939559326378661 8:0.9710386019869446 9:1.0 10:0.5961542589701849 11:0.6600566294470797 12:0.996038633992177 13:1.0 14:0.8571428656578064 15:1.09090909091 16:7.0
2.615 1:0.3951128529865105 2:0.8935185074806213 3:0.9167527126420604 4:0.7857142686843872 5:0.3695755820268835 6:1.0 7:0.5689795651805685 8:0.9983204975521298 9:0.0 10:0.8533375350975181 11:0.5257928450486171 12:1.0 13:0.2857142857142857 14:0.5714285373687744 15:0.6 16:4.0
4.250 1:0.7372667535901248 2:1.0 3:0.7782628089045692 4:0.8181818127632141 5:0.7390269627042563 6:1.0 7:0.6042681853746978 8:0.9655281519726964 9:1.0 10:0.20753991746152672 11:0.5658890766198885 12:0.9724701013696156 13:0.6 14:0.800000011920929 15:0.75 16:1.0
