4.400 1:0.344706124407459 2:0.0 3:0.5574061112047366 4:0.39669424295425415 5:0.3410535491449676 6:1.0 7:0.0 8:0.47492637573727015 9:0.0 10:0.05789959271227226 13:0.25477707006369427 14:0.3684210777282715 15:0.558823529412 16:1.0
0.800 1:0.22859429273085438 2:0.0 3:0.42329982698172425 4:0.4385964870452881 5:0.37376542320869854 6:0.0 7:0.0 8:0.9525360098523306 9:1.0 10:0.019550000105442025 13:0.22540983606557377 14:0.3999999761581421 15:0.323559150657 16:24.0
3.600 1:0.423102757331858 2:0.7571429014205933 3:0.5618358487845807 4:0.5086206793785095 5:0.5846300998804247 6:0.6676288630959605 7:0.07772263612073359 8:0.9148546198744191 9:1.0 10:0.2048901739321281 13:0.33458646616541354 14:0.42307692766189575 15:0.390508474576 16:31.0
3.400 1:0.5008483394600328 2:0.0 3:0.7922702102161222 4:0.47413790225982666 5:0.727880789922848 6:0.0 7:0.0 8:0.9080604521545983 9:1.0 10:0.3768090471468014 13:0.27800829875518673 14:0.4583333134651184 15:0.379264617239 16:45.0
1.400 1:0.2238768253622273 2:1.0 3:0.5541477732533769 4:0.3047618865966797 5:0.32419766438500613 6:0.42706821131104716 7:0.06784162826513476 8:0.0 9:0.0 10:0.0 13:0.09405940594059406 14:0.09090906381607056 15:0.277777777778 16:34.0
4.600 1:0.43597743924501425 2:0.9111570119857788 3:0.6655246281555544 4:0.4696969985961914 5:0.5453868450216085 6:0.8969916123595729 7:0.04017516951063051 8:0.9309827336013069 9:0.6981769947418988 10:0.6226450161713885 13:0.3510436432637571 14:0.29729729890823364 15:0.619461697723 16:3.0
1.400 1:0.39470827416047366 2:1.0 3:0.4468639096927367 4:0.375 5:0.37961885715496924 6:0.0 7:0.07283946595119689 8:0.9172620824521207 9:0.0 10:0.10505318723878883 13:0.2727272727272727 14:0.125 15:0.504201680672 16:32.0
3.600 1:0.6546501799012984 2:0.6399999856948853 3:0.7764430022841614 4:0.5745856761932373 5:0.7424428002274778 6:0.5751133623920108 7:3.198645665961217E-8 8:0.9808766556687971 9:0.4237751882088139 10:0.22670242183844327 13:0.5460526315789473 14:0.4375 15:0.724137931034 16:4.0
2.000 1:0.4045126679093112 2:0.0 3:0.6509864301760768 4:0.522988498210907 5:0.7041668442492613 6:0.7870914969972457 7:0.0 8:0.8168476142484193 9:1.0 10:0.30922709867295445 13:0.2978723404255319 14:0.3611111044883728 15:0.595704948646 16:26.0
5.000 1:0.4337335262230168 2:1.0 3:0.7682587417210602 4:0.5523809194564819 5:0.5514901720514717 6:1.0 7:0.07961905612470628 8:0.7725457141904922 9:1.0 10:0.019846909846850988 13:0.40441176470588236 14:0.47058820724487305 15:0.727941176471 16:16.0
3.600 1:0.42448332413572876 2:0.878125011920929 3:0.6809411586897608 4:0.3222222328186035 5:0.3577133276281313 6:0.8094823313748508 7:0.3112980435164355 8:0.9766587951793799 9:1.0 10:0.7790654817771316 13:0.3181818181818182 14:0.25 15:0.734265734266 16:17.0
4.400 1:0.5928569423238529 2:0.8166666626930237 3:0.7055910574704997 4:0.662162184715271 5:0.6454635090810907 6:0.0 7:0.1165661377258348 8:0.8421963138393108 9:1.0 10:0.1799892373996848 13:0.47410358565737054 14:0.5555555820465088 15:0.651666666667 16:10.0
4.800 1:0.586004869933832 2:0.5714285969734192 3:0.7564118955039765 4:0.6896551847457886 5:0.5709660878223874 6:1.0 7:0.08867317868241602 8:0.0 9:0.0 10:1.0287801175961844E-4 13:0.5185185185185185 14:0.6666666269302368 15:0.823529411765 16:17.0
4.600 1:0.5297240175983119 2:1.0 3:0.6139609495729704 4:0.5094339847564697 5:0.6810185419425406 6:1.0 7:0.1399789705549465 8:0.9175761256655723 9:1.0 10:0.32563009326017717 13:0.5280898876404494 14:0.523809552192688 15:0.684210526316 16:9.0
1.400 1:0.3209660514449719 2:1.0 3:0.4677494317009108 4:0.24175822734832764 5:0.4475805962092545 6:0.8527083803404549 7:0.07759994007041711 8:1.0 9:1.0 10:0.46811455754599646 13:0.1702127659574468 14:0.05555558204650879 15:0.485714285714 16:11.0
2.600 1:0.5164602213854671 2:0.796875 3:0.7919126145347247 4:0.6772152185440063 5:0.6759448208618435 6:1.0 7:0.07889680763005211 8:0.9370730477789155 9:1.0 10:0.16588353287345306 13:0.35989717223650386 14:0.6060606241226196 15:0.535496957404 16:28.0
2.000 1:0.2686955307347353 2:1.0 3:0.6013694510495676 4:0.21739131212234497 5:0.34129923305166665 6:0.7622375715021661 7:0.035440102350659156 8:0.4839351364733552 9:1.0 10:0.0021967717789441762 13:0.15775401069518716 14:0.15625 15:0.417698019802 16:28.0
2.800 1:0.3036046999240103 2:0.7439814209938049 3:0.6228596785027739 4:0.29906541109085083 5:0.4266003327824854 6:0.0 7:0.08089834425305281 8:0.5343478107958806 9:0.22976788245884938 10:0.005550858224471953 13:0.21379310344827587 14:0.0 15:0.45 16:23.0
3.500 1:0.3020153272274194 2:0.0 3:0.47665238325769993 4:0.4691358208656311 5:0.32503830414153084 6:0.0 7:0.0 8:0.9442302329303505 9:1.0 10:0.013581532992449198 13:0.2 14:0.46666663885116577 15:0.527472527473 16:13.0
3.200 1:0.29758812756900077 2:1.0 3:0.6001446981287986 4:0.27131783962249756 5:0.2851665907708995 6:0.6299207641197564 7:0.06785457673536174 8:0.8888760785406465 9:1.0 10:0.25229182226582475 13:0.21951219512195122 14:-0.0952380895614624 15:0.597402597403 16:20.0
4.000 1:0.300415602843636 2:0.59375 3:0.516425202787091 4:0.38297873735427856 5:0.4353826947768262 6:1.0 7:0.048626303245047554 8:0.8756513812937666 9:1.0 10:0.2429444252321269 13:0.14935064935064934 14:0.0952380895614624 15:0.468671679198 16:20.0
4.250 1:0.44610264564793717 2:0.9166666865348816 3:0.6227580348333006 4:0.5605095624923706 5:0.5186274159347076 6:0.6697240659231674 7:0.21813843471239447 8:0.8196357183141878 9:1.0 10:0.31184137715954524 13:0.29901960784313725 14:0.5 15:0.617749825297 16:3.0
3.750 1:0.6951206266674725 2:0.5994897484779358 3:0.8537218641726878 4:0.7760416865348816 5:0.8109612208820395 6:1.0 7:0.0976155758616546 8:0.9698734642846136 9:1.0 10:0.7082364205911508 13:0.5689655172413793 14:0.7241379022598267 15:0.602006688963 16:40.0
5.000 1:0.4044044712876837 2:0.8828125 3:0.6693096188786765 4:0.6030534505844116 5:0.4351909291183019 6:0.9017983121761828 7:0.0406450993587699 8:0.9588406556472066 9:1.0 10:0.2652128037188172 13:0.35294117647058826 14:0.3999999761581421 15:0.717073170732 16:15.0
4.000 1:0.3791881988482574 2:1.0 3:0.6544288848522113 4:0.265625 5:0.5296401834049972 6:1.0 7:0.05971465913955672 8:0.983602024203719 9:1.0 10:0.5425454459435199 13:0.22127659574468084 14:0.07999998331069946 15:0.4725950783 16:24.0
4.000 1:0.6990793176886707 2:1.0 3:0.76359145761702 4:0.6197183132171631 5:0.7204857640626845 6:1.0 7:0.07983030298566264 8:0.6024338273613248 9:0.0 10:0.1510854127926672 13:0.6360655737704918 14:0.5 15:1.05609881626 16:65.0
3.500 1:0.8000297764170806 2:1.0 3:0.733415094907736 4:0.6223404407501221 5:0.7943611312072454 6:0.0 7:0.14313160304506117 8:0.9729349210809276 9:0.0 10:0.45215301679037034 13:0.7213114754098361 14:0.5357142686843872 15:0.990892531876 16:42.0
2.500 1:0.34448545356660376 2:0.0 3:0.40703785886452687 4:0.30927836894989014 5:0.4149169593214306 6:1.0 7:0.0 8:0.7069690629037455 9:1.0 10:0.018374702682408074 13:0.05454545454545454 14:0.0 15:0.321428571429 16:24.0
2.000 1:0.40036451591542954 2:0.8285714387893677 3:0.5826485748533407 4:0.41463416814804077 5:0.5223266630612527 6:0.0 7:0.14738432137069246 8:0.565479230334683 9:0.0 10:0.02516665499252586 13:0.27717391304347827 14:0.3333333134651184 15:0.508196721311 16:4.0
4.400 1:0.5425627086081285 2:1.0 3:0.699307657762839 4:0.7446808815002441 5:0.7076730667430958 6:1.0 7:0.19648498670544493 8:0.8902989004360637 9:1.0 10:0.3675741243517851 13:0.5412844036697247 14:0.625 15:0.666666666667 16:13.0
3.600 1:0.5425880441256453 2:0.0 3:0.817947497060027 4:0.5502958297729492 5:0.6964127231248212 6:0.7082657986968254 7:0.0 8:0.9467137842534935 9:1.0 10:0.1652546951618034 13:0.41590214067278286 14:0.517241358757019 15:0.550925925926 16:28.0
4.200 1:0.31141906995538216 2:0.6200980544090271 3:0.6259336371643336 4:0.3176470398902893 5:0.3959353464741237 6:0.0 7:0.08335470509884324 8:0.8399055940550262 9:0.21093316112243377 10:0.048012902120116004 13:0.15384615384615385 14:0.3333333134651184 15:0.407843137255 16:10.0
3.400 1:0.469102200486126 2:0.7402777671813965 3:0.634678814161196 4:0.44247788190841675 5:0.5709666365140038 6:0.5499100785462315 7:0.13692044434730793 8:0.9168977615903732 9:0.03653280225453859 10:0.2319323948661994 13:0.28804347826086957 14:0.3181818127632141 15:0.475524475524 16:34.0
4.000 1:0.5231882515452029 2:0.3824314475059509 3:0.6205979045256322 4:0.37837839126586914 5:0.5376450189890305 6:0.0 7:0.08195937540031914 8:0.9214266645228636 9:0.0 10:0.07635383716814186 13:0.3005181347150259 14:0.3333333134651184 15:0.584615384615 16:1.0
4.000 1:0.4503180209468224 2:1.0 3:0.6016385154582105 4:0.375 5:0.4722305141327858 6:1.0 7:0.10419161347884784 8:0.9464476363163018 9:1.0 10:0.8503862901059249 13:0.40441176470588236 14:0.1764705777168274 15:0.745098039216 16:40.0
4.800 1:0.6672339532832745 2:1.0 3:0.7571146528585674 4:0.6209150552749634 5:0.7963152316216056 6:1.0 7:0.05905061470239592 8:0.9688107070194864 9:1.0 10:0.6302134382049122 13:0.7309236947791165 14:0.5 15:1.05555555556 16:26.0
